page,origin,inherited,line,element,name,type,handler,destination,disabled
"BusinessProfiles.jsx","src\pages\BusinessProfiles.jsx","false","59","Button","Back to profile","button","() => navigate('/profile')","",""
"BusinessProfiles.jsx","src\pages\BusinessProfiles.jsx","false","76","Button","Try again","button","() => profileQuery.refetch()","",""
"BusinessProfiles.jsx","src\pages\BusinessProfiles.jsx","false","115","Button","View public profile","","","",""
"BusinessProfiles.jsx","src\pages\BusinessProfiles.jsx","false","115","Link","View public profile","","","profile.public_path",""
"BusinessProfiles.jsx","src\pages\BusinessProfiles.jsx","false","116","Button","Edit profile","button","() => setEditing(true)","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","83","form","( <img src={logoPreview} alt={`${form.company_name || 'Business'} logo`} loading=""eager"" decoding=""async"" className=""h-full w-full object-cover"" /> ) ( <Building2 className=""h-7 w-7 text-primary"" aria-hidden=""true"" /> ) Business logo JPG, PNG, or WebP · 5 MB maximum. <Loader2 className=""mr-1.5 h-4 w-4 animate-spin"" /> <Camera className=""mr-1.5 h-4 w-4"" /> 'Replace' 'Add logo' Business name Profile type Vehicle dealers receive a searchable vehicle inventory page. No special account role is created. Phone Email Provide at least one contact method. Description City or area Public address (optional) Website (optional) Social links (optional) 'Saving…' profile ? 'Save profile' : 'Create profile'","","(event) => {
        event.preventDefault();
        onSubmit(form, { upload: logoUpload, removeExisting: removeExistingLogo });
      }","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","102","Button","<Loader2 className=""mr-1.5 h-4 w-4 animate-spin"" /> <Camera className=""mr-1.5 h-4 w-4"" /> 'Replace' 'Add logo'","button","() => logoInputRef.current?.click()","","uploadingLogo || isPending"
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","107","Button","Remove","button","removeLogo","","uploadingLogo || isPending"
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","119","Input","","","(event) => set('company_name', event.target.value)","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","124","Select","","","(value) => set('business_type', value)","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","125","SelectTrigger","","","","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","136","Input","+263 ...","tel","(event) => set('phone', event.target.value)","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","140","Input","hello@example.co.zw","email","(event) => set('email', event.target.value)","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","147","Textarea","What does your business offer?","","(event) => set('description', event.target.value)","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","153","Input","","","(event) => set('city', event.target.value)","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","157","Input","","","(event) => set('address', event.target.value)","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","163","Input","https://example.co.zw","url","(event) => set('website', event.target.value)","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","177","Input","https://...","url","(event) => setSocial(key, event.target.value)","",""
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","186","Button","Cancel","button","cancel","","isPending || uploadingLogo"
"BusinessProfiles.jsx","src\components\business\BusinessProfileForm.jsx","true","187","Button","'Saving…' profile ? 'Save profile' : 'Create profile'","submit","","","isPending || uploadingLogo"
"BuyerPeekRequests.jsx","src\pages\BuyerPeekRequests.jsx","false","27","button","Go back","button","() => goBackOrHome(navigate, '/')","",""
"BuyerPeekRequests.jsx","src\pages\BuyerPeekRequests.jsx","false","37","button","My requests","button","() => changeView('mine')","",""
"BuyerPeekRequests.jsx","src\pages\BuyerPeekRequests.jsx","false","49","button","Requests to answer","button","() => changeView('answer')","",""
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","315","Button","Try again","","() => queue.refetch()","",""
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","339","Button","View listing","","","",""
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","339","Link","View listing","","","`${parentPath(item)}#peek-threads`",""
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","340","Button","Accept","","() => accept.mutate(item)","","accept.isPending"
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","341","Button","'Continue upload' 'Record response'","","() => openResponse(item)","",""
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","342","Button","Retry","","() => accept.mutate(item)","","accept.isPending"
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","343","Button","Cancel attempt","","() => setCancelTarget(item)","","cancel.isPending"
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","344","Button","Decline","","() => { setDeclineTarget(item); setDeclineReason(''); }","",""
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","349","Button","<><Loader2 className=""mr-2 h-4 w-4 animate-spin"" />Loading</> 'Load more requests'","","() => queue.fetchNextPage()","","queue.isFetchingNextPage"
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","350","Button","Retry loading more","","() => queue.fetchNextPage()","",""
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","354","Dialog","Record Response Peek `Answer “${responseTarget.body}” for ${responseTarget.parentTitle}. PeekaListing attaches the video to this request automatically once it finishes processing.` 'Record visual evidence for this buyer request.' The accepted request stays open while the video uploads and processes. It becomes answered automatically as soon as processing finishes.","","","",""
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","380","AlertDialog","Cancel this fulfilment attempt? The buyer request stays open, but the current upload or processing attempt will no longer be attached automatically. You can retry later. Keep attempt <><Loader2 className=""mr-2 h-4 w-4 animate-spin"" />Cancelling</> 'Cancel attempt'","","","",""
"BuyerPeekRequests.jsx","src\components\peekThreads\BuyerPeekRequestsQueue.jsx","true","395","AlertDialog","Decline this Peek Request? Give buyers a short, useful reason. The request will no longer appear publicly as pending. Reason Cancel <><Loader2 className=""mr-2 h-4 w-4 animate-spin"" />Declining</> 'Decline request'","","","",""
"BuyerPeekRequests.jsx","src\components\tours\TourUploader.jsx","true","215","Button","Record","button","openCamera","","disabled || selecting"
"BuyerPeekRequests.jsx","src\components\tours\TourUploader.jsx","true","216","Button","Upload","button","() => uploadInputRef.current?.click()","","disabled || selecting"
"BuyerPeekRequests.jsx","src\components\tours\TourUploader.jsx","true","217","Button","Skip","button","onSkip","","disabled || selecting"
"BuyerPeekRequests.jsx","src\components\tours\TourUploader.jsx","true","232","Button","Remove","button","clear","","disabled"
"BuyerPeekRequests.jsx","src\components\tours\TourUploader.jsx","true","242","Button","<><RotateCcw />Try upload again</> <><Upload />{isResponse ? 'Upload Response Peek' : 'Upload Peek'}</>","button","upload","","disabled || selecting"
"BuyerPeekRequests.jsx","src\components\permissions\CameraPermissionDialog.jsx","true","15","AlertDialog","Use your camera to record a Peek? PeekaListing will open your device camera so you can record the Peek you chose to add. Your browser or operating system may ask for camera and microphone access. Recording stays on your device until you review it and explicitly upload it. PeekaListing does not start the camera in the background. Microphone access is used only for the video’s audio. You can cancel the camera without selecting or uploading anything. Not now Continue to camera","","","",""
"BuyerPeekRequests.jsx","src\components\peekThreads\ResponsePeekBindingQueue.jsx","true","74","Button","Select requests","","() => { setActive(peek); setSelected([]); }","","!peek.pendingRequestCount"
